file,initial,TWOOPT weight,RELOCATE weight,GLOBAL_RELOCATE weight,GLOBAL_EXCHANGE weight,iterations,target costfunction,cost (final solution),costs per MURMEL (final solution),cost (initial solution),costs per MURMEL (initial solution),costfunction 2 (no target),cost 2 (best solution),Tmin,Tmax,runtime (s),two opts,two opts with improvement,relocates,relocates with improvement,global relocates,global relocates with improvement,global exchanges,global exchanges with improvement
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2711.89270375,"[870.245140625, 655.702718125, 624.0748450000001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1580.3500771604936,0.1,500.0,13.62,2719,1366,1985,1037,1539,740,11419,5698
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2705.5027037500004,"[976.665140625, 411.57726750000006, 774.0202956250001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1773.5599537037035,0.1,500.0,13.31,2778,1376,2047,981,1541,727,11297,5651
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2767.0827037500007,"[1764.789985625, 81.6024225, 653.6602956250001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,3204.551929012345,0.1,500.0,13.26,2855,1439,2011,1017,1698,741,11579,5736
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2694.16270375,"[1363.7618025, 804.617873125, 177.483028125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2476.5009259259255,0.1,500.0,13.28,3068,1553,2041,1001,1708,775,11188,5556
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2569.34270375,"[860.7233237500001, 213.353028125, 852.3963518750002]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1563.0140432098765,0.1,500.0,13.58,3153,1568,1847,940,1720,701,11227,5620
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2627.22270375,"[375.19908437500004, 493.85847875, 1080.195140625]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1961.5229166666666,0.1,500.0,13.59,2826,1415,2067,1026,1664,803,11700,5914
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2679.6027037500003,"[305.32545062500003, 233.243028125, 1709.034225]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,3103.4166666666665,0.1,500.0,13.29,3775,1867,1998,1020,1757,797,11121,5567
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2566.51270375,"[678.3102956250001, 894.555140625, 368.0572675]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1624.4858796296294,0.1,500.0,13.34,2745,1388,2010,979,1488,702,11567,5805
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2612.43270375,"[1067.275140625, 744.4445350000001, 269.623028125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1938.0661265432097,0.1,500.0,13.18,3368,1692,1959,939,1502,740,11337,5617
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2502.65270375,"[141.273028125, 410.21726750000005, 1361.2124081250001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2471.899768518518,0.1,500.0,14.04,3255,1603,2003,968,1727,769,11223,5659
