file,initial,TWOOPT weight,RELOCATE weight,GLOBAL_RELOCATE weight,GLOBAL_EXCHANGE weight,iterations,target costfunction,cost (final solution),costs per MURMEL (final solution),cost (initial solution),costs per MURMEL (initial solution),costfunction 2 (no target),cost 2 (best solution),Tmin,Tmax,runtime (s),two opts,two opts with improvement,relocates,relocates with improvement,global relocates,global relocates with improvement,global exchanges,global exchanges with improvement
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4541.769336875001,"[929.4172531250001, 991.2972531250001, 886.5748306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1800.4226080246913,0.01,10.0,0.44,72,60,6,6,0,0,23,19
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4331.829336875,"[943.1872531250001, 937.0672531250001, 787.2948306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1713.0769290123455,0.01,10.0,0.46,65,51,4,2,2,2,11,10
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4278.5993368750005,"[881.4772531250001, 1013.0572531250001, 795.1148306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1839.9287808641975,0.01,10.0,0.46,58,45,7,7,0,0,24,22
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4381.179336875,"[996.5672531250001, 900.3472531250001, 776.2448306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1809.9905092592592,0.01,10.0,0.45,73,61,14,12,0,0,10,8
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4507.819336875001,"[971.0672531250001, 1119.6472531250001, 794.9448306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2033.447299382716,0.01,10.0,0.45,56,45,9,9,0,0,15,14
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4505.739336875001,"[1082.247253125, 930.607253125, 851.5548306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1965.5460648148148,0.01,10.0,0.45,62,53,10,9,0,0,15,14
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4383.089336875,"[1078.677253125, 904.5972531250001, 779.8148306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1959.0645833333333,0.01,10.0,0.46,64,50,3,3,0,0,19,15
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4380.929336875,"[890.6572531250001, 1137.6672531250001, 766.894830625]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2066.1633487654317,0.01,10.0,0.44,64,53,9,7,0,0,19,18
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4333.269336875,"[871.617253125, 916.497253125, 712.6648306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1664.6201388888887,0.01,10.0,0.47,57,47,11,10,0,0,21,19
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4458.589336875,"[945.9072531250001, 1045.3572531250002, 808.7148306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1898.5707561728395,0.01,10.0,0.44,46,36,9,9,0,0,23,19
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4337.449336875,"[935.367253125, 997.9272531250001, 814.6648306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1812.4596450617285,0.01,10.0,0.44,51,34,7,7,0,0,18,16
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4107.819336875,"[860.2272531250001, 902.2172531250001, 706.2048306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1638.6942129629629,0.01,10.0,0.44,84,71,7,6,0,0,12,11
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4413.799336875,"[963.247253125, 1095.1672531250001, 713.5148306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1989.0028549382716,0.01,10.0,0.45,63,57,12,11,0,0,21,18
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4653.769336875001,"[1123.8972531250001, 1102.477253125, 785.2548306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2041.163348765432,0.01,10.0,0.45,77,62,6,6,2,2,29,26
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4260.759336875,"[955.4272531250001, 1048.757253125, 701.1048306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1904.7435956790123,0.01,10.0,0.45,51,44,12,11,0,0,20,20
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4399.1393368750005,"[1037.8766475000002, 1059.97785875, 764.1748306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1925.1257716049383,0.01,10.0,0.45,60,51,9,8,1,1,33,29
