Name,XData,YData,FillingLevel,Trashbin,DropOffDepot,ChargingStation,Accessible
JAM/PK01,13.4003318,52.5214262,0.420198293478677,1,0,0,1
JAM/PK02,13.3999972,52.5214523,0.752315539199477,1,0,0,1
JAM/PK03,13.3994427,52.5216215,0.368640598075997,1,0,0,1
JAM/PK04,13.3987212,52.5217659,0.427427742483482,1,0,0,1
JAM/PK05,13.3984959,52.5218198,0.393199317645887,1,0,0,1
JAM/PK06,13.3975343,52.5219968,0.323868150281478,1,0,0,1
JAM/PK07,13.3980761,52.5220034,0.471164072369109,1,0,0,1
JAM/PK08,13.3986562,52.5220299,0.45888946551011,1,0,0,1
JAM/PK09,13.3989565,52.5220266,0.729510877163614,1,0,0,1
JAM/PK10,13.399317,52.5220204,0.462646288622943,1,0,0,1
JAM/PK11,13.3996099,52.5220366,0.340367988066601,1,0,0,1
JAM/PK12,13.3999138,52.522064,0.740518594718007,1,0,0,1
JAM/PK13,13.400221,52.5220993,0.685201872033617,1,0,0,1
JAM/PK14,13.400373,52.5219778,0.465556032355523,1,0,0,1
MON/PK01,13.3973898,52.5222716,0.274076044403042,1,0,0,1
MON/PK02,13.3970412,52.5222063,0.433305827532952,1,0,0,1
MON/PK03,13.3968588,52.5221475,0.476608844641285,1,0,0,0
MON/PK04,13.3964433,52.5222281,0.54141023808973,1,0,0,0
MON/PK05,13.3960503,52.5222975,0.460825453133528,1,0,0,0
MON/PK06,13.3957285,52.522353,0.566513286935614,1,0,0,0
MON/PK07,13.3958049,52.5224689,0.558784131414867,1,0,0,1
MON/PK08,13.3954187,52.5225358,0.312398163976039,1,0,0,1
MON/PK09,13.3950485,52.5226027,0.357805861650285,1,0,0,1
MON/PK10,13.3951625,52.5228214,0.388834085908938,1,0,0,1
MON/PK11,13.3955246,52.523528,0.423827367458274,1,0,0,1
MON/PK12,13.3951101,52.5238808,0.451913674009964,1,0,0,1
MON/PK13,13.395331,52.5239,0.501870356204243,1,0,0,1
MON/PK14,13.3954651,52.5238756,0.0456233987893782,1,0,0,1
MON/PK15,13.3955228,52.5240306,0.431447803869263,1,0,0,1
MON/PK16,13.3952,52.5240587,0.686367260958611,1,0,0,1
MON/PK17,13.3953354,52.5241623,0.339994790152288,1,0,0,1
MON/PK18,13.3957739,52.5240562,0.640059224400686,1,0,0,1
MON/PK19,13.3961898,52.5236308,0.552548150203417,1,0,0,1
MON/PK20,13.3964956,52.523688,0.495649135443691,1,0,0,1
MON/PK21,13.3966377,52.5239164,0.527367825125898,1,0,0,1
MON/PK22,13.3966511,52.5235248,0.265241597877391,1,0,0,1
MON/PK23,13.3963145,52.5234073,0.487319078027341,1,0,0,1
MON/PK24,13.3962005,52.5231494,0.740591952590432,1,0,0,1
MON/PK25,13.396104,52.5229373,0.514752166196016,1,0,0,1
MON/PK26,13.3959591,52.5226876,0.506206042023442,1,0,0,1
MON/PK27,13.3965125,52.5230873,0.389874633095489,1,0,0,1
MON/PK28,13.3966734,52.5230482,0.495377940498152,1,0,0,1
MON/PK29,13.3972957,52.5229127,0.534852051893671,1,0,0,1
MON/PK30,13.3977342,52.5227944,0.563958133611342,1,1,1,1
MON/PK31,13.3976645,52.5233239,0.444078688741474,1,0,0,1
MON/PK32,13.3981339,52.5234798,0.464531812436422,1,0,0,1
MON/PK33,13.3981308,52.5231284,0.803553632990458,1,0,0,1
MON/PK34,13.3983159,52.5230957,0.161246904425571,1,0,0,1
MON/PK35,13.3982099,52.5232597,0.834416852068535,1,0,0,1
MON/PK36,13.3983869,52.5232279,0.550634555091966,1,0,0,1
MON/PK37,13.3985941,52.5231282,0.650009122938369,1,0,0,1
MON/XX52,13.3964768,52.5222208,0,0,0,0,1
MON/XX53,13.3956412,52.5237434,0,0,0,0,1
MON/XX54,13.3982669,52.5231794,0,0,0,0,1
MON/XX55,13.3980099,52.5232428,0,0,0,0,1
MON/XX56,13.396435,52.5235773,0,0,0,0,1
